name|sid|call|icon|city|state|tagline
KYPR-FM|73|KYPR|http://media.npr.org/images/stations/logos/kypr_fm.gif|Miles City|MT|Yellowstone Public Radio
KERA-FM|78|KERA|http://media.npr.org/images/stations/logos/kera_fm.gif|Dallas|TX|Your source for NPR News in North Texas
KEXP-FM|79|KEXP|http://media.npr.org/images/stations/logos/kexp_fm.gif|Seattle|WA|Where the Music Matters
KGOU-FM|81|KGOU|http://media.npr.org/images/stations/logos/kgou_fm.gif|Norman|OK|Your NPR Source
KROU-FM|82|KROU|http://media.npr.org/images/stations/logos/krou_fm.gif|Oklahoma City|OK|Your NPR Source
KHCC-FM|84|KHCC|http://media.npr.org/images/stations/logos/khcc_fm.gif|Hutchinson|KS|Listener-supported Public Radio
KHCD-FM|85|KHCD|http://media.npr.org/images/stations/logos/khcd_fm.gif|Salina|KS|Listener-supported Public Radio
KHCT-FM|86|KHCT|http://media.npr.org/images/stations/logos/khct_fm.gif|Great Bend|KS|Listener-supported Public Radio
KHPR-FM|88|KHPR|http://media.npr.org/images/stations/logos/khpr_fm.gif|Honolulu|HI|Radio with Vision...Listen, and See!
KANO-FM|89|KANO|http://media.npr.org/images/stations/logos/kano_fm.gif|Hilo|HI|Radio with Vision
KIPO-FM|90|KIPO|http://media.npr.org/images/stations/logos/kipo_fm.gif|Honolulu|HI|Radio with Vision
KKUA-FM|91|KKUA|http://media.npr.org/images/stations/logos/kkua_fm.gif|Wailuku|HI|Radio with Vision
KHSU-FM|92|KHSU|http://media.npr.org/images/stations/logos/khsu_fm.gif|Arcata|CA|Diverse Public Radio
KHSR-FM|93|KHSR|http://media.npr.org/images/stations/logos/khsr_fm.gif|Crescent City|CA|Diverse Public Radio
KIOS-FM|94|KIOS|http://media.npr.org/images/stations/logos/kios_fm.gif|Omaha|NE|Omaha Public Radio
KJZZ-FM|95|KJZZ|http://media.npr.org/images/stations/logos/kjzz_fm.gif|Phoenix|AZ|Your NPR News Station
KLCC-FM|96|KLCC|http://media.npr.org/images/stations/logos/klcc_fm.gif|Eugene|OR|A Service of Lane Community College
KLCO-FM|97|KLCO|http://media.npr.org/images/stations/logos/klco_fm.gif|Newport|OR|A Service of Lane Community College
KLFO-FM|98|KLFO|http://media.npr.org/images/stations/logos/klfo_fm.gif|Florence|OR|A Service of Lane Community College
KLFR-FM|99|KLFR|http://media.npr.org/images/stations/logos/klfr_fm.gif|Reedsport|OR|A Service of Lane Community College
KMUW-FM|103|KMUW|http://media.npr.org/images/stations/logos/kmuw_fm.gif|Wichita|KS|KMUW - Your Connection to the World
Arizona Public Radio|104|None|None|Flagstaff|None|Arizona Public Radio
KNAU-FM|105|KNAU|http://media.npr.org/images/stations/logos/knau_fm.gif|Flagstaff|AZ|Arizona Public Radio
KNAA-FM|106|KNAA|http://media.npr.org/images/stations/logos/knaa_fm.gif|Show Low|AZ|Arizona Public Radio
KNAD-FM|107|KNAD|http://media.npr.org/images/stations/logos/knad_fm.gif|Page|AZ|Arizona Public Radio
KNAG-FM|108|KNAG|http://media.npr.org/images/stations/logos/knag_fm.gif|Grand Canyon|AZ|Arizona Public Radio
KNAQ-FM|109|KNAQ|http://media.npr.org/images/stations/logos/knaq_fm.gif|Prescott|AZ|Arizona Public Radio
KPUB-FM|110|KPUB|http://media.npr.org/images/stations/logos/kpub_fm.gif|Flagstaff|AZ|Arizona Public Radio
Minnesota Public Radio|111|None|None|Saint Paul|None|Minnesota Public Radio
KNOW-FM|112|KNOW|http://media.npr.org/images/stations/logos/know_fm.gif|St. Paul|MN|Minnesota Public Radio News
KBPR-FM|113|KBPR|http://media.npr.org/images/stations/logos/kbpr_fm.gif|Brainerd|MN|Minnesota Public Radio
KCCD-FM|114|KCCD|http://media.npr.org/images/stations/logos/kccd_fm.gif|Moorhead|MN|Minnesota Public Radio
KLNI-FM|115|KLNI|http://media.npr.org/images/stations/logos/klni_fm.gif|Decorah|IA|Minnesota Public Radio
KNBJ-FM|116|KNBJ|http://media.npr.org/images/stations/logos/knbj_fm.gif|Bemidji|MN|Minnesota Public Radio
KNCM-FM|117|KNCM|http://media.npr.org/images/stations/logos/kncm_fm.gif|Appleton|MN|Minnesota Public Radio
KNGA-FM|118|KNGA|http://media.npr.org/images/stations/logos/knga_fm.gif|St. Peter|MN|Minnesota Public Radio
